week,RT_count,followers_count,sentiment,binary_opinion,year,week_number,norm_followers_count,norm_RT_count,tweet_value,stablity,indicator,macron,fillion,lePen,hamon
2016-12-12,5737297.0,271160217.0,30163.7,30129,109011168.0,2703650.0,8.04710887605548,54128.32431077211,8.048714123952331,3.8750206916487655,0.4814459343408673,0.793492996703778,0.1529017021167889,0.6162902124691289,0.9980673072533495
2016-12-19,2388708.0,132606706.0,17667.9,17806,65834496.0,1665456.0,3.9353140098611132,32679.034126303,3.9362135532795763,2.2662252150362034,0.5757373639313926,0.9008623528932527,0.12702194495242253,0.33871875537529006,0.968708148319526
2016-12-26,1877736.0,92107860.0,14185.1,14573,52719334.0,1359748.0,2.733446616767074,26167.106862867997,2.7349142148070515,1.6785448390747684,0.6137467968783035,0.9445727269898091,0.18666918284491607,0.5632971338515027,0.9996550250016428
2017-01-02,2684102.0,292091764.0,28775.35,29975,103798854.0,51462.0,8.668285682582644,51487.8825877747,8.669745400092715,4.812938999063307,0.555141907513436,0.9161109257473433,0.17656384093819158,0.8468543088704042,0.998143976729457
2017-01-09,1395868.0,57485962.0,8450.35,9320,31142480.0,30880.0,1.7059869628987208,15453.460247051677,1.7063438153917596,0.8492670748365121,0.4977115790943508,0.5484238155886947,0.3623168512559723,0.8687932920517383,0.9923506788007972
2017-01-16,38859374.0,384104265.0,43287.65,46342,151940610.0,225990.0,11.398902370004619,75704.7179348717,11.405258567549245,7.102520819702158,0.6227408854991302,0.8509965122188194,0.2255572146750084,0.9326149251480627,0.9734429901406034
2017-01-23,175792541.0,1092465904.0,108329.7,89351,471949762.0,935944.0,32.420655840035614,235681.15386247262,32.452119931850575,15.899293070518535,0.4899307997106826,0.8700794762577992,0.10244546791326399,0.7943208302366184,0.983445041429631
2017-01-30,84704804.0,1886854328.0,166331.25,149636,677923785.0,1680525.0,55.99539039560696,336921.8018668698,56.016597555898066,27.008562737896845,0.48215286033653565,0.8537436819162971,0.07431142813689415,0.9325649780378701,0.9989640058954034
2017-02-06,209266280.0,1590516440.0,145307.35,124420,614394336.0,1827648.0,47.20109425873547,306625.9385360115,47.242297362263926,20.417981850920082,0.4321970562597894,0.7962539887982092,0.09932328684106306,0.8121226050045868,0.9986881068002397
2017-02-13,55542787.0,1326568513.0,139155.85,140707,505365401.0,1753871.0,39.36802151053752,251088.5947947504,39.38306900596548,22.332640989145965,0.5670619774645589,0.8071765801135379,0.14519262658730359,0.8164590583807093,0.9984890261039786
2017-02-20,39745776.0,1354779568.0,145659.1,157984,509542608.0,2020992.0,40.20522924552539,253007.26544072977,40.21951666521422,25.372706924910435,0.6308555902377424,0.8607975840768097,0.10030467567151383,0.8002802199901037,0.9995361925574885
2017-02-27,87041886.0,2449075775.0,247731.25,237200,958256530.0,4275810.0,72.68020222573784,475929.33816765185,72.70467986953918,35.51558522536554,0.4884910474689454,0.8562605785166088,0.1503009635929421,0.8103341707852847,0.9991496090477827
2017-03-06,51415175.0,1633023693.0,187798.5,195516,676971761.0,3356330.0,48.46256431026975,336128.7925518066,48.47684852339203,25.760248472686474,0.5313928041394052,0.7838917722772312,0.1817134321364519,0.9166596812347862,0.9978405749729039
2017-03-13,44261184.0,1621032695.0,177679.35,183661,652806084.0,3560172.0,48.106712454469815,324078.80717047723,48.11897140039877,25.726195194488543,0.5346372635528811,0.8655657603952767,0.12034637443999259,0.8792877004723565,0.9992814305469593
2017-03-20,309913469.0,1587318571.0,247669.25,266949,909878785.0,5413260.0,47.10619243169363,454093.4715871286,47.16831844102775,26.034123466277723,0.5519408858898991,0.8317089921578246,0.17278660249795771,0.8351375401760829,0.9996385700447351
2017-03-27,62382940.0,1295550077.0,204804.55,229621,727923198.0,4691622.0,38.44750029832386,361495.55386054405,38.46605202643506,22.71007961709204,0.5903927858644025,0.805245701564255,0.19991035408031857,0.8831743105463051,0.9993735534620221
2017-04-03,24430146.0,176064739.0,21945.05,23194,83209318.0,577556.0,5.224999963646185,41489.57800642218,5.2300287920122335,2.867741233791356,0.5483222651032489,0.7837441319012662,0.13395512282754024,0.6099107895766328,0.9992425989569503
2017-04-10,65965931.0,430646897.0,80439.4,92808,285072695.0,2120025.0,12.780128684195773,141971.10436535106,12.798087111873542,7.419277871285244,0.5797177192521171,0.854624668950911,0.23630418268330805,0.5535205241404441,0.9985156322874554
